url,title,author,image,price,"old price","external id"
https://nemira.ro/enigma-la-mansarda-ebook,"Enigmă la mansardă (ebook)","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/e/n/enigma-la-mansarda.jpg,"17,56 lei",,4707
https://nemira.ro/omul-de-la-capatul-firului-ebook,"Omul de la capătul firului (ebook)","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/o/m/omul_de_la_capatul_firului.jpg,"17,56 lei",,4638
https://nemira.ro/cutia-cu-nasturi-ebook,"Cutia cu nasturi (ebook)","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/u/cutia-cu-nasturi_1.jpg,"13,15 lei",,4718
https://nemira.ro/arta-divinatiei-ebook,"Arta divinației (ebook)","Dan Seracu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/a/r/arta-divinatiei.jpg,"8,74 lei",,4628
https://nemira.ro/blestemul-din-sarnath-the-best-of-h-p-lovecraft-vol-1-ebook,"Blestemul din Sarnath. The best of H.P. Lovecraft, vol. 1 (ebook)","H.P. Lovecraft",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/b/l/blestemul-din-sarnath.jpg,"8,74 lei",,4626
https://nemira.ro/nu-i-usor-sa-spui-adio-ebook,"Nu-i ușor să spui adio (ebook)","Raymond Chandler",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/n/u/nu-i-usor-sa-spui-adio_2.jpg,"17,56 lei",,4621
https://nemira.ro/somnul-de-veci-ebook,"Somnul de veci (ebook)","Raymond Chandler",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/s/o/somnul-de-veci_1_1.jpg,"13,15 lei",,4624
https://nemira.ro/play-back-ebook,"Play-back (ebook)","Raymond Chandler",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/p/l/play-back_2.jpg,"18,74 lei","22,05 lei",4622
https://nemira.ro/crima-de-mantuiala-ebook,"Crimă de mântuială (ebook)","Raymond Chandler",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/r/crima-de-mantuiala_2.jpg,"18,74 lei","22,05 lei",4620
https://nemira.ro/voi-astepta-ebook,"Voi aștepta (ebook)","Raymond Chandler",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/v/o/voi-astepta_2.jpg,"13,15 lei",,4625
https://nemira.ro/sange-spaniol-povestiri-politiste-3-ebook,"Sânge spaniol - Povestiri polițiste 3 (ebook)","Raymond Chandler",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/s/a/sange-spaniol_1.jpg,"18,74 lei","22,05 lei",4623
https://nemira.ro/doamna-din-lac-ebook,"Doamna din lac (ebook)","Raymond Chandler",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/d/o/doamna-din-lac-ebook.jpg,"8,74 lei",,4619
https://nemira.ro/curgeti-lacrimile-mele-zise-politistul-ebook,"Curgeți, lacrimile mele, zise polițistul (ebook)","Philip K. Dick",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/p/h/philip-k.-dick---curgeti_-lacrimile-mele---site_1.jpg,"8,74 lei",,4618
https://nemira.ro/furnica-electrica-ebook,"Furnica electrică (ebook)","Philip K. Dick",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/f/u/furnica-electrica.jpg,"8,74 lei",,4601
https://nemira.ro/ubik-ebook,"Ubik (ebook)","Philip K. Dick",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/u/b/ubik_1.jpg,"13,15 lei",,4599
